stop_id,stop_code,stop_name,street_name,latitude,longitude,direction,zone
N2913629E101689197,PPJ305,Taman Pancarona P18,Jalan P18,2.913629,101.689197,1,1
N2913774E101863854,KJ618,Bandar Tasik Kesuma Fasa 4,Jalan Semenyih,2.913774,101.863854,1,1
N2913912E101864086,KJ584,Bandar Tasik Kesuma Fasa 4,Jalan Semenyih,2.913912,101.864086,2,1
N2913951E101692923,PPJ301,Perumahan P18k 1/1,Jalan P18,2.913951,101.692923,2,1
N2913955E101686047,PPJ366,Jabatan Alam Sekitar,Jalan P4x,2.913955,101.686047,2,1
N2914018E101692157,PPJ319,Perumahan P18k 1/1 (Opp),Jalan P18,2.914018,101.692157,1,1
N2914144E101684242,PPJ55,Kementerian Belia & Sukan,Persiaran Perdana,2.914144,101.684242,1,1
N2914148E101684250,PPJ55,Kementerian Belia & Sukan,Persiaran Perdana,2.914148,101.68425,1,1
N2914374E101695769,,Perumahan P18h,Jalan P18,2.914374,101.695769,2,1
N2914615E101695677,,Perumahan P18h (Opp),Jalan P18,2.914615,101.695677,1,1
N2914798E101683859,PPJ41,Kementerian Pertanian,Persiaran Perdana,2.914798,101.683859,2,1
N2915292E101668801,SP43,Perdana Lakeview West,Persiaran Tasik,2.915292,101.668801,2,1
N2915569E101657617,SP52,Tech Mahindra,Persiaran Apec,2.915569,101.657617,1,1
N2915586E101863078,KJ619,Pelangi Semenyih 2,Jalan Semenyih,2.915586,101.863078,1,1
N2915698E101645700,SP407,Serin Residency,Jalan Fauna 1,2.915698,101.6457,2,1
N2915876E101697253,PPJ320,Apartment P18r4 Blok C,Jalan P18,2.915876,101.697253,1,1
N2915968E101863225,KJ583,Pelangi Semenyih 2,Jalan Semenyih,2.915968,101.863225,2,1
N2916013E101697548,PPJ300,Apartment P18r4 (Opp),Jalan P18,2.916013,101.697548,2,1
N2916092E101657412,SP68,Mercu Mqa,Persiaran Apec,2.916092,101.657412,2,1
N2916157E101647980,SP408,Wisma Mustapha Kamal (Opp),Persiaran Ceria,2.916157,101.64798,2,1
N2916239E101648246,SP433,The Domain @ Neo Cyber,Persiaran Ceria,2.916239,101.648246,1,1
N2916473E101684966,PPJ54,Istana Kehakiman (Selatan),Persiaran Perdana,2.916473,101.684966,1,1
N2916489E101684958,PPJ54,Perbadanan Putrajaya (Opp),Persiaran Perdana,2.916489,101.684958,1,1
N2916573E101628270,SP413,Taman Pinggiran Cyber,Persiaran Multimedia,2.916573,101.62827,2,1
N2916673E101684601,PPJ42,Perbadanan Putrajaya (Selatan),Persiaran Perdana,2.916673,101.684601,2,1
N2917041E101650236,SP63,Komersial Neo Cyber,Lingkaran Cyber Point Timur,2.917041,101.650236,1,1
N2917683E101681600,PPJ241,Masjid Besi,Jalan Tuanku Abdul Rahman,2.9176833609203,101.6815996142,1,1
N2917752E101683003,PPJ361,Bangunan Undang-Undang,Persiaran Perdana,2.9177515890902,101.68300252342,1,1
N2917764E101668126,SP44,Perdana Lakeview East,Persiaran Tasik,2.917764,101.668126,2,1
N2918283E101651218,SP427,Plaza Crystalville,Lingkaran Cyber Point Timur,2.918283,101.651218,1,1
N2918378E101685599,PPJ53,Istana Kehakiman (Utara),Persiaran Perdana,2.918378,101.685599,1,1
N2918403E101685606,PPJ53,Istana Kehakiman,Persiaran Perdana,2.918403,101.685606,1,1
N2918451E101760113,KJ950,Kedai Seri Melati,Jalan Bangi,2.918451,101.760113,2,1
N2918475E101685189,PPJ43,Perbadanan Putrajaya (Utara),Persiaran Perdana,2.918475,101.685189,2,1
N2918613E101697465,PPJ321,Perumahan P18d,Jalan P18,2.918613,101.697465,1,1
N2918906E101862757,KJ582,Taman Mutiara Rinching,Jalan Semenyih,2.918906,101.862757,2,1
N2919036E101639949,SP80,SMK Cyberjaya,Jalan Fauna 1,2.919036,101.639949,1,1
N2919113E101655143,SP395,Primera Suite,Jalan Teknokrat 6,2.919113,101.655143,1,1
N2919253E101658233,SP425,Cybersquare,Persiaran Apec,2.919253,101.658233,2,1
N2919333E101637924,SP79,SK Cyberjaya 1,Persiaran Bestari,2.919333,101.637924,1,1
N2919468E101645790,SP406,Cristal Serin Residence,Jalan Fauna 1,2.919468,101.64579,2,1
N2919798E101696975,PPJ298,Perumahan P18d,Jalan P18,2.919798,101.696975,2,1
N2919986E101632320,SP378,Autoville Cyberjaya,Persiaran Multimedia,2.919986,101.63232,1,1
N2920036E101631930,SP379,Hospital Cyberjaya,Persiaran Multimedia,2.920036,101.63193,2,1
N2920036E101775085,KJ232,Kolej Zaaba Blok C,Jalan Temuan,2.920036,101.775085,2,1
N2920094E101757460,KJ934,Almashoor,Jalan Teras,2.920094,101.75746,1,1
N2920237E101861834,KJ620,Taman Mutiara Rinching,Jalan Semenyih,2.920237,101.861834,1,1
N2920393E101685857,PPJ44,Jabatan Pendaftaran Negara,Persiaran Perdana,2.920393,101.685857,2,1
N2920426E101685852,PPJ44,Jabatan Pendaftaran Negara,Persiaran Perdana,2.920426,101.685852,2,1
N2920447E101666897,SP45,Cyberview Garden Villa,Persiaran Tasik,2.920447,101.666897,2,1
N2920562E101646736,SP66,D'melor Residence (Opp),Persiaran Ceria,2.920562,101.646736,2,1
N2920746E101655474,SP72,JPJ Bah. Teknologi Digital,Jalan Teknokrat 4,2.920746,101.655474,1,1
N2920797E101757918,KJ948,Perumahan Teras Jernang,Jalan Teras,2.920797,101.757918,2,1
N2920856E101686418,PPJ52,Menara Usahawan,Persiaran Perdana,2.920856,101.686418,1,1
N2920895E101658409,SP69,Prima Avenue,Persiaran Apec,2.920895,101.658409,2,1
N2920929E101687546,PPJ180,Menara Kpdn,Lebuh Bestari,2.920929,101.687546,2,1
N2920931E101658721,SP51,Cottage Walk,Persiaran Apec,2.920931,101.658721,1,1
N2920959E101686462,PPJ52,Menara Usahawan,Persiaran Perdana,2.920959,101.686462,1,1
